Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Daily return,Percentage Return,7 Day Moving Average
AAPL,2023-02-07,150.6399994,155.2299957,150.6399994,154.6499939,154.4142303,83322600,4.009994507,2.661971935,106.8321435
AAPL,2023-02-08,153.8800049,154.5800018,151.1699982,151.9199982,151.6884003,64120100,-1.960006714,-1.273724104,106.5758336
AAPL,2023-02-09,153.7799988,154.3300018,150.4199982,150.8699951,150.6399994,56007100,-2.910003662,-1.892316091,106.2470001
AAPL,2023-02-10,149.4600067,151.3399963,149.2200012,151.0099945,151.0099945,57450700,1.549987793,1.03705856,105.8812504
AAPL,2023-02-13,150.9499969,154.2599945,150.9199982,153.8500061,153.8500061,62199000,2.900009155,1.921172053,105.8483327
AAPL,2023-02-14,152.1199951,153.7700043,150.8600006,153.1999969,153.1999969,61707600,1.080001831,0.709967043,105.7124977
AAPL,2023-02-15,153.1100006,155.5,152.8800049,155.3300018,155.3300018,65573800,2.220001221,1.449938745,106.2149963
AAPL,2023-02-16,153.5099945,156.3300018,153.3500061,153.7100067,153.7100067,68167900,0.200012207,0.130292629,#DIV/0!
AAPL,2023-02-17,152.3500061,153,150.8500061,152.5500031,152.5500031,59144100,0.199996948,0.131274657,#DIV/0!
AAPL,2023-02-21,150.1999969,151.3000031,148.4100037,148.4799957,148.4799957,58867200,-1.720001221,-1.14514065,#DIV/0!
AAPL,2023-02-22,148.8699951,149.9499969,147.1600037,148.9100037,148.9100037,51011300,0.040008545,0.026874821,#DIV/0!
AAPL,2023-02-23,150.0899963,150.3399963,147.2400055,149.3999939,149.3999939,48394200,-0.690002441,-0.459725803,#DIV/0!
AAPL,2023-02-24,147.1100006,147.1900024,145.7200012,146.7100067,146.7100067,55469600,-0.399993896,-0.271901227,#DIV/0!
AAPL,2023-02-27,147.7100067,149.1699982,147.4499969,147.9199982,147.9199982,44998500,0.209991455,0.142164678,#DIV/0!
AAPL,2023-02-28,147.0500031,149.0800018,146.8300018,147.4100037,147.4100037,50547000,0.36000061,0.244815099,#DIV/0!
AAPL,2023-03-01,146.8300018,147.2299957,145.0099945,145.3099976,145.3099976,55479000,-1.520004272,-1.035213685,#DIV/0!
AAPL,2023-03-02,144.3800049,146.7100067,143.8999939,145.9100037,145.9100037,52238100,1.529998779,1.059702679,#DIV/0!
AAPL,2023-03-03,148.0399933,151.1100006,147.3300018,151.0299988,151.0299988,70732300,2.990005493,2.019728201,#DIV/0!
AAPL,2023-03-06,153.7899933,156.3000031,153.4600067,153.8300018,153.8300018,87558000,0.040008545,0.026015051,#DIV/0!
AAPL,2023-03-07,153.6999969,154.0299988,151.1300049,151.6000061,151.6000061,56182000,-2.099990845,-1.366292054,#DIV/0!
AAPL,2023-03-08,152.8099976,153.4700012,151.8300018,152.8699951,152.8699951,47204800,0.059997559,0.039262849,#DIV/0!
AAPL,2023-03-09,153.5599976,154.5399933,150.2299957,150.5899963,150.5899963,53833600,-2.970001221,-1.934098247,#DIV/0!
AAPL,2023-03-10,150.2100067,150.9400024,147.6100006,148.5,148.5,68572400,-1.710006714,-1.13841065,#DIV/0!
AAPL,2023-03-13,147.8099976,153.1399994,147.6999969,150.4700012,150.4700012,84457100,2.660003662,1.799610112,#DIV/0!
AAPL,2023-03-14,151.2799988,153.3999939,150.1000061,152.5899963,152.5899963,73695900,1.309997559,0.865942338,#DIV/0!
AAPL,2023-03-15,151.1900024,153.25,149.9199982,152.9900055,152.9900055,77167900,1.800003052,1.19055693,#DIV/0!
AAPL,2023-03-16,152.1600037,156.4600067,151.6399994,155.8500061,155.8500061,76161100,3.690002441,2.42508041,#DIV/0!
AAPL,2023-03-17,156.0800018,156.7400055,154.2799988,155,155,98944600,-1.080001831,-0.69195401,#DIV/0!
AAPL,2023-03-20,155.0700073,157.8200073,154.1499939,157.3999939,157.3999939,73641400,2.329986572,1.502538507,#DIV/0!
AAPL,2023-03-21,157.3200073,159.3999939,156.5399933,159.2799988,159.2799988,73938300,1.959991455,1.245862804,#DIV/0!
AAPL,2023-03-22,159.3000031,162.1399994,157.8099976,157.8300018,157.8300018,75701800,-1.470001221,-0.922787943,#DIV/0!
AAPL,2023-03-23,158.8300018,161.5500031,157.6799927,158.9299927,158.9299927,67622100,0.099990845,0.062954633,#DIV/0!
AAPL,2023-03-24,158.8600006,160.3399963,157.8500061,160.25,160.25,59196500,1.38999939,0.874983875,#DIV/0!
AAPL,2023-03-27,159.9400024,160.7700043,157.8699951,158.2799988,158.2799988,52390300,-1.660003662,-1.037891482,#DIV/0!
AAPL,2023-03-28,157.9700012,158.4900055,155.9799957,157.6499939,157.6499939,45992200,-0.320007324,-0.202574743,#DIV/0!
AAPL,2023-03-29,159.3699951,161.0500031,159.3500061,160.7700043,160.7700043,51305700,1.400009155,0.878464704,#DIV/0!
AAPL,2023-03-30,161.5299988,162.4700012,161.2700043,162.3600006,162.3600006,49501700,0.830001831,0.513837577,#DIV/0!
AAPL,2023-03-31,162.4400024,165,161.9100037,164.8999939,164.8999939,68749800,2.459991455,1.514400036,#DIV/0!
AAPL,2023-04-03,164.2700043,166.2899933,164.2200012,166.1699982,166.1699982,56976200,1.899993896,1.156628628,#DIV/0!
AAPL,2023-04-04,166.6000061,166.8399963,165.1100006,165.6300049,165.6300049,46278300,-0.970001221,-0.582233605,#DIV/0!
AAPL,2023-04-05,164.7400055,165.0500031,161.8000031,163.7599945,163.7599945,51511700,-0.980010986,-0.594883425,#DIV/0!
AAPL,2023-04-06,162.4299927,164.9600067,162,164.6600037,164.6600037,45390100,2.230010986,1.372905921,#DIV/0!
AAPL,2023-04-10,161.4199982,162.0299988,160.0800018,162.0299988,162.0299988,47716900,0.61000061,0.377896554,#DIV/0!
AAPL,2023-04-11,162.3500061,162.3600006,160.5099945,160.8000031,160.8000031,47644200,-1.550003052,-0.954729285,#DIV/0!
AAPL,2023-04-12,161.2200012,162.0599976,159.7799988,160.1000061,160.1000061,50133100,-1.119995117,-0.694699857,#DIV/0!
AAPL,2023-04-13,161.6300049,165.8000031,161.4199982,165.5599976,165.5599976,68445600,3.929992676,2.4314747,#DIV/0!
AAPL,2023-04-14,164.5899963,166.3200073,163.8200073,165.2100067,165.2100067,49386500,0.620010376,0.376699915,#DIV/0!
AAPL,2023-04-17,165.0899963,165.3899994,164.0299988,165.2299957,165.2299957,41516200,0.13999939,0.084801861,#DIV/0!
AAPL,2023-04-18,166.1000061,167.4100037,165.6499939,166.4700012,166.4700012,49923000,0.369995117,0.222754427,#DIV/0!
